,tree,obs.mean,null.mean,obs.lower,obs.upper,exp.lower,exp.upper
1,carnivora,0.00781330655250644,0.0958640071290304,0.004,0.0136986301369863,0.0944645146528211,0.0975952624220809
2,artiodactyla,0.022726901806443,0.090652893917814,0.0157170923379175,0.0306122448979592,0.0885427429277997,0.0934679428851878
3,yangochiroptera,0.0107825654402326,0.11636210376405,0.00586510263929619,0.0180722891566265,0.114543596588308,0.118433002742723
4,anomaluromorpha_castorimorpha_myomorpha,0.00405623188206927,0.0820935012379011,0.00361532899493854,0.0051622418879056,0.0807724247203482,0.0836636005077008
5,primatomorpha,0.0301071748504642,0.0939109973096678,0.0198675496688742,0.0462962962962963,0.0916968486056622,0.0967138440284302
