4,5,6,7,8,9,10,4h,5h,6h,7h,8h,9h,10h
0,3.08026379787527,0,0,0,0,0,0,0,0,0,0,0,0
2.16455902349576,0,3.08026379787527,0,0,0,0,1.43991312061516,0,0,0,0,0,0
0,2.16455902349576,0,3.08026379787527,0,0,0,0,1.43991312061516,0,0,0,0,0
0,0,2.16455902349576,0,3.08026379787527,0,0,0,0,1.43991312061516,0,0,0,0
0,0,0,2.16455902349576,0,3.08026379787527,0,0,0,0,1.43991312061516,0,0,0
0,0,0,0,2.16455902349576,0,3.08026379787527,0,0,0,0,1.43991312061516,0,0
0,0,0,0,0,2.16455902349576,0,0,0,0,0,0,1.43991312061516,0
5.67448972703884,0,0,0,0,0,0,0,3.08026379787527,0,0,0,0,0
0,5.67448972703884,0,0,0,0,0,2.16455902349576,0,3.08026379787527,0,0,0,0
0,0,5.67448972703884,0,0,0,0,0,2.16455902349576,0,3.08026379787527,0,0,0
0,0,0,5.67448972703884,0,0,0,0,0,2.16455902349576,0,3.08026379787527,0,0
0,0,0,0,5.67448972703884,0,0,0,0,0,2.16455902349576,0,3.08026379787527,0
0,0,0,0,0,5.67448972703884,0,0,0,0,0,2.16455902349576,0,3.08026379787527
0,0,0,0,0,0,5.67448972703884,0,0,0,0,0,2.16455902349576,0
