18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h
0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2387230882982,0
10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0,5.38700721745178
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1161011220237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04717998365801,0
