15,16,17,18,19,20,21,15h,16h,17h,18h,19h,20h,21h
0,2.31260596976196,0,0,0,0,0,0,0,0,0,0,0,0
1.77666461411449,0,2.31260596976196,0,0,0,0,1.26036017712444,0,0,0,0,0,0
0,1.77666461411449,0,2.31260596976196,0,0,0,0,1.26036017712444,0,0,0,0,0
0,0,1.77666461411449,0,2.31260596976196,0,0,0,0,1.26036017712444,0,0,0,0
0,0,0,1.77666461411449,0,2.31260596976196,0,0,0,0,1.26036017712444,0,0,0
0,0,0,0,1.77666461411449,0,2.31260596976196,0,0,0,0,1.26036017712444,0,0
0,0,0,0,0,1.77666461411449,0,0,0,0,0,0,1.26036017712444,0
8.13226575435799,0,0,0,0,0,0,0,2.31260596976196,0,0,0,0,0
0,8.13226575435799,0,0,0,0,0,1.77666461411449,0,2.31260596976196,0,0,0,0
0,0,8.13226575435799,0,0,0,0,0,1.77666461411449,0,2.31260596976196,0,0,0
0,0,0,8.13226575435799,0,0,0,0,0,1.77666461411449,0,2.31260596976196,0,0
0,0,0,0,8.13226575435799,0,0,0,0,0,1.77666461411449,0,2.31260596976196,0
0,0,0,0,0,8.13226575435799,0,0,0,0,0,1.77666461411449,0,2.31260596976196
0,0,0,0,0,0,8.13226575435799,0,0,0,0,0,1.77666461411449,0
