10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43146234673786,0
8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0,8.47425963222002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59550602386097,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37565489775969,0
