15,16,17,15h,16h,17h
0,1.87174786596791,0,0,0,0
1.63867411059686,0,1.87174786596791,1.40998106254513,0,0
0,1.63867411059686,0,0,1.40998106254513,0
4.52226685341256,0,0,0,1.87174786596791,0
0,4.52226685341256,0,1.63867411059686,0,1.87174786596791
0,0,4.52226685341256,0,1.63867411059686,0
