17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h
0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6108210837122,0,14.045709133495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45900010688744,0,0,0,0,0
