,1,2,3,4,5,6,total
raw,3.47992188551952,1.38177194639038,1.7378555822015,0,0.135604304218598,0,6.73515371833
prop,0.516680395289089,0.205158190024651,0.25802760484469,0,0.0201338098415698,0,1
