,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total
raw,0.0459641377427873,0.0258491239387546,0.00474940573659383,0.145276638793455,0.0282581937727639,0.183227518594639,0.238797109368924,0.225249704345697,1.10046639291345,1.50510684924816,2.09595227481048,2.5541056567062,2.94098508007593,1.54258712199572,1.72505900583616,0.789102836692196,0.785512882778332,0.62953891657913,0.314667425275165,0.36028074863651,0.156149988095123,0.0974175504450606,0.377418108262842,0.144649956759859,0.012841608431734,0.0695097025170642,0.0834634389442692,0.0420452045650479,0.0140868762106151,0.142382305763519,0.480453243743676,0,0,0,0,0,0,0,0,0,0,0,0.0554884466775147,0.110552376462452,0.286837447725284,0.392475181129348,0.128921414944157,0.011162619951392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84659249447
prop,0.00231597125580095,0.00130244644998667,0.000239305852524417,0.0073199789250439,0.0014238310067906,0.00923219029391031,0.0120321465478501,0.0113495404517657,0.05544863145752,0.0758370410269441,0.10560766415668,0.128692401852755,0.148185895432448,0.0777255401613923,0.0869196566774283,0.0397601168519014,0.039579231699205,0.0317202520661692,0.0158549849483151,0.0181532799011668,0.00786784875734372,0.00490852777232186,0.0190167711846759,0.00728840262126426,0.000647043487959565,0.00350234946056519,0.00420542916712404,0.00211850999494061,0.000709788152023591,0.00717414366235375,0.0242083493112255,0,0,0,0,0,0,0,0,0,0,0,0.0027958676882682,0.00557034546324546,0.0144527302510599,0.0197754441342365,0.00649589671275205,0.000562445163042587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
