,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
raw,0,0.63593454954241,0.512235405262211,0.941775164923371,0.417157010847728,2.97649874551265,0.144250054718949,0.452414396624506,0.228296895476692,0.4647053438397,0.466478913052811,0.122284194328138,0.0270600102701998,0.330593279775573,0.321280191257474,0.861088266545522,0.352071188162748,0.0662029313254904,0.00966850810682685,0,0,0,9.329995049573
prop,0,0.0681602236832392,0.0549020018274988,0.100940585704434,0.0447113860866217,0.319024686475999,0.0154608929535875,0.0484903147558702,0.0244691336130066,0.0498076731413666,0.0499977664054774,0.013106565831858,0.00290032418306998,0.03543338212068,0.0344351941828927,0.0922924676776684,0.0377354099645381,0.00709570915887252,0.00103628223331901,0,0,0,1
