,N,1_2,1_3,1_4,1_5,1_6,2_1,2_3,2_4,2_5,2_6,3_1,3_2,3_4,3_5,3_6,4_1,4_2,4_3,4_5,4_6,5_1,5_2,5_3,5_4,5_6,6_1,6_2,6_3,6_4,6_5
49,35,0,0,0,0,0,0,5,2,0,0,0,8,0,6,0,1,0,0,1,0,0,2,0,0,5,0,0,5,0,0
50,44,6,0,0,0,0,1,16,1,0,0,0,10,0,4,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0
51,43,7,0,0,0,0,5,13,1,0,0,0,7,0,1,0,1,0,0,2,0,0,3,0,0,1,0,0,2,0,0
52,42,5,0,0,0,0,3,11,4,0,0,0,5,0,3,0,3,0,0,1,0,0,5,0,0,1,0,0,1,0,0
53,49,5,0,0,0,0,3,15,0,0,0,0,6,0,4,0,0,0,0,2,0,0,4,0,2,3,0,0,4,0,1
54,42,3,0,0,0,0,2,13,0,0,0,0,8,0,7,0,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0
55,44,7,0,0,0,0,3,11,0,0,0,0,6,0,4,0,2,0,0,0,0,0,1,0,2,3,0,0,4,0,1
56,37,7,0,0,0,0,3,10,2,0,0,0,6,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0
57,44,3,0,0,0,0,1,8,3,0,0,0,5,0,2,0,1,0,0,5,0,0,6,0,1,2,0,0,6,0,1
58,21,1,0,0,0,0,2,6,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
59,36,3,0,0,0,0,1,9,2,0,0,0,7,0,3,0,3,0,0,1,0,0,3,0,0,2,0,0,1,0,1
60,33,7,0,0,0,0,5,6,3,0,0,0,3,0,2,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0
61,36,2,0,0,0,0,1,9,1,0,0,0,7,0,4,0,2,0,0,1,0,0,4,0,0,2,0,0,2,0,1
62,27,0,0,0,0,0,1,7,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0
63,25,2,0,0,0,0,2,7,0,0,0,0,7,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
64,40,2,0,0,0,0,2,12,2,0,0,0,10,0,2,0,0,0,0,2,0,0,4,0,0,2,0,0,1,0,1
65,32,2,0,0,0,0,2,5,1,0,0,0,7,0,2,0,1,0,0,1,0,0,1,0,1,3,0,0,6,0,0
66,24,0,0,0,0,0,1,8,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
67,34,2,0,0,0,0,3,7,1,0,0,0,7,0,2,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,2
68,26,0,0,0,0,0,0,9,1,0,0,0,9,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
69,41,1,0,0,0,0,2,18,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
70,28,2,0,0,0,0,2,9,1,0,0,0,9,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
71,32,2,0,0,0,0,2,4,2,0,0,0,3,0,6,0,1,0,0,2,0,0,5,0,1,2,0,0,2,0,0
72,22,1,0,0,0,0,2,4,0,0,0,0,2,0,4,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,1
73,30,1,0,0,0,0,1,9,0,0,0,0,10,0,2,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0
74,39,6,0,0,0,0,3,10,1,0,0,0,4,0,3,0,2,0,0,1,0,0,3,0,0,3,0,0,3,0,0
75,27,4,0,0,0,0,2,8,0,0,0,0,5,0,2,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0
76,31,1,0,0,0,0,1,11,1,0,0,0,5,0,4,0,1,0,0,0,0,0,2,0,0,2,0,0,3,0,0
77,46,3,0,0,0,0,0,8,3,0,0,0,5,0,6,0,4,0,0,1,0,0,4,0,2,5,0,0,5,0,0
78,32,0,0,0,0,0,0,6,2,0,0,0,5,0,4,0,1,0,0,1,0,0,5,0,0,3,0,0,5,0,0
79,39,2,0,0,0,0,1,4,1,0,0,0,3,0,3,0,2,0,0,1,0,0,4,0,2,4,0,0,10,0,2
80,36,1,0,0,0,0,1,7,1,0,0,0,5,0,5,0,1,0,0,3,0,0,4,0,0,4,0,0,4,0,0
81,38,6,0,0,0,0,5,10,2,0,0,0,7,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0
82,47,8,0,0,0,0,4,11,3,0,0,0,3,0,3,0,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0
83,21,1,0,0,0,0,2,3,0,0,0,0,3,0,2,0,0,0,0,1,0,0,2,0,1,3,0,0,3,0,0
84,35,1,0,0,0,0,2,9,0,0,0,0,6,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,1
85,37,2,0,0,0,0,2,8,1,0,0,0,8,0,2,0,1,0,0,0,0,0,4,0,0,1,0,0,7,0,1
86,32,1,0,0,0,0,1,4,2,0,0,0,4,0,2,0,1,0,0,2,0,0,3,0,1,5,0,0,5,0,1
87,42,14,0,0,0,0,2,16,0,0,0,0,3,0,3,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
88,40,4,0,0,0,0,2,7,3,0,0,0,7,0,2,0,3,0,0,0,0,0,3,0,0,4,0,0,2,0,3
89,15,2,0,0,0,0,0,4,0,0,0,0,4,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
90,17,1,0,0,0,0,1,5,1,0,0,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,29,1,0,0,0,0,1,8,0,0,0,0,6,0,4,0,1,0,0,0,0,0,3,0,1,1,0,0,3,0,0
92,33,0,0,0,0,0,0,9,2,0,0,0,8,0,4,0,1,0,0,2,0,0,4,0,1,1,0,0,1,0,0
93,44,1,0,0,0,0,1,7,0,0,0,0,7,0,5,0,1,0,0,0,0,0,2,0,1,5,0,0,12,0,2
94,29,4,0,0,0,0,4,9,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
95,49,2,0,0,0,0,1,5,1,0,0,0,3,0,6,0,2,0,0,1,0,0,4,0,2,7,0,0,11,0,4
96,38,3,0,0,0,0,2,8,1,0,0,0,8,0,4,0,0,0,0,1,0,0,3,0,0,4,0,0,3,0,1
97,25,0,0,0,0,0,0,9,1,0,0,0,6,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0
98,28,0,0,0,0,0,1,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0
99,40,3,0,0,0,0,2,16,2,0,0,0,10,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,1
100,31,5,0,0,0,0,2,9,2,0,0,0,4,0,2,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0
