,N,1_2,1_3,1_4,1_5,1_6,2_1,2_3,2_4,2_5,2_6,3_1,3_2,3_4,3_5,3_6,4_1,4_2,4_3,4_5,4_6,5_1,5_2,5_3,5_4,5_6,6_1,6_2,6_3,6_4,6_5
1,21,5,0,0,0,0,3,1,2,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
2,10,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,2,0,0,0,0,2,3,1,0,0,0,3,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0
4,25,7,0,0,0,0,4,3,3,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0
5,17,8,0,0,0,0,4,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,2,0,0,0,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
7,12,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0
8,13,5,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,7,0,0,0,0,2,3,1,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,2,0,0,0,1,0,1
10,18,5,0,0,0,0,0,2,3,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11,22,3,0,0,0,0,4,4,0,0,0,0,3,0,2,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0
12,28,3,0,0,0,0,4,4,1,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,0
13,17,7,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,7,0,0,0,0,2,3,2,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,20,5,0,0,0,0,3,3,0,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
16,14,1,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
17,13,6,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18,10,5,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,3,0,0,0,0,3,2,2,0,0,0,1,0,2,0,2,0,0,1,0,0,4,0,0,0,0,0,2,0,0
20,17,4,0,0,0,0,1,3,2,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,20,7,0,0,0,0,1,3,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,23,4,0,0,0,0,5,3,2,0,0,0,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,18,2,0,0,0,0,2,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
24,22,6,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,5,0,1
25,20,4,0,0,0,0,2,4,2,0,0,0,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
26,17,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,0,0
27,22,7,0,0,0,0,5,2,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0
28,13,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,14,1,0,0,0,0,2,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,19,2,0,0,0,0,1,4,2,0,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
31,23,8,0,0,0,0,4,1,3,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
32,20,6,0,0,0,0,1,2,1,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,1,0,0,0,0,0,0
33,9,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,27,4,0,0,0,0,2,6,1,0,0,0,3,0,3,0,3,0,0,1,0,0,3,0,1,0,0,0,0,0,0
35,17,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,1,0,0,1,0,2
36,9,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,36,1,0,0,0,0,4,7,1,0,0,0,5,0,5,0,1,0,0,0,0,0,6,0,0,2,0,0,3,0,1
38,27,2,0,0,0,0,2,6,1,0,0,0,6,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0
39,18,4,0,0,0,0,3,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0
40,19,7,0,0,0,0,2,3,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
42,27,5,0,0,0,0,3,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,2,0,0,4,0,1
43,19,6,0,0,0,0,2,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
44,17,6,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,26,1,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,2,2,0,0,3,0,1
46,20,6,0,0,0,0,1,2,3,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
47,15,6,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
48,15,7,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,20,4,0,0,0,0,3,3,3,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
50,10,4,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,22,4,0,0,0,0,0,3,1,0,0,0,1,0,3,0,2,0,0,2,0,0,3,0,1,1,0,0,1,0,0
52,20,3,0,0,0,0,2,1,2,0,0,0,1,0,1,0,2,0,0,1,0,0,3,0,0,1,0,0,2,0,1
53,17,1,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
54,9,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,9,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,19,5,0,0,0,0,0,3,2,0,0,0,2,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
57,25,4,0,0,0,0,4,3,2,0,0,0,4,0,2,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0
58,13,2,0,0,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0
59,18,7,0,0,0,0,4,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,26,1,0,0,0,0,1,2,2,0,0,0,4,0,1,0,5,0,0,1,0,0,3,0,1,0,0,0,4,0,1
61,18,4,0,0,0,0,3,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,14,8,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,17,6,0,0,0,0,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
64,15,3,0,0,0,0,2,2,2,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,25,6,0,0,0,0,1,3,3,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,22,2,0,0,0,0,3,2,1,0,0,0,3,0,2,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,1
67,20,5,0,0,0,0,1,3,2,0,0,0,2,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
