,1,2,3,4,5,6,7,8,9,10,11,12,13,14,total
raw,0.194578637322451,0.119237005985742,0.961466351807128,6.09479534409058,2.13815484284584,0.500144062363146,0.898487207168653,0,0,0.266084003329805,0.567487791261099,0.0466038737655589,0,0,11.78703911994
prop,0.0165078469107042,0.0101159421609139,0.0815697939086862,0.517076025800244,0.181398807714887,0.0424316961430168,0.0762267095261178,0,0,0.0225742869453681,0.0481450672629979,0.00395382362706506,0,0,1
