8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94087936210401,0
3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0,5.24430830627009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87928549031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46420703052255,0
