14,15,16,17,18,19,20,21,22,23,24,25,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h
0,9.37385472325536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0,0,0,0,0,0
0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0,0,0,0,0
0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0,0,0,0
0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0,0,0
0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0,0
0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0,0
0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0,0
0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0,0
0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0,0
0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0,4.10267333292891,0,0
0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,0,0,0,0,0,0,0,0,0,0,4.10267333292891,0
2.24830807077577,0,0,0,0,0,0,0,0,0,0,0,0,9.37385472325536,0,0,0,0,0,0,0,0,0,0
0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0,0
0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0,0
0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0,0
0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0,0
0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0,0
0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0,0
0,0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0,0
0,0,0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0,0
0,0,0,0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536,0
0,0,0,0,0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0,9.37385472325536
0,0,0,0,0,0,0,0,0,0,0,2.24830807077577,0,0,0,0,0,0,0,0,0,0,10.5943739404982,0
