9,10,11,9h,10h,11h
0,2.72723523382607,0,0,0,0
3.01556065090794,0,2.72723523382607,2.21228439305658,0,0
0,3.01556065090794,0,0,2.21228439305658,0
4.62204296539202,0,0,0,2.72723523382607,0
0,4.62204296539202,0,3.01556065090794,0,2.72723523382607
0,0,4.62204296539202,0,3.01556065090794,0
