18,19,20,21,18h,19h,20h,21h
0,3.36121052109751,0,0,0,0,0,0
2.56133587959612,0,3.36121052109751,0,1.67991467507309,0,0,0
0,2.56133587959612,0,3.36121052109751,0,1.67991467507309,0,0
0,0,2.56133587959612,0,0,0,1.67991467507309,0
4.50805021852113,0,0,0,0,3.36121052109751,0,0
0,4.50805021852113,0,0,2.56133587959612,0,3.36121052109751,0
0,0,4.50805021852113,0,0,2.56133587959612,0,3.36121052109751
0,0,0,4.50805021852113,0,0,2.56133587959612,0
