14,15,16,17,18,19,20,21,22,23,24,25,26,27,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h
0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72016899132576,0
3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0,0
0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0,0
0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0,0
0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0,0
0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0,0
0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0,0
0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0,0
0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0,0
0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0,0
0,0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0,0
0,0,0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0,0
0,0,0,0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254,0
0,0,0,0,0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0,5.80080478290254
0,0,0,0,0,0,0,0,0,0,0,0,0,3.32261629557484,0,0,0,0,0,0,0,0,0,0,0,0,3.94707296612216,0
