8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h
0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42715603033127,0
10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0028965206523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6979216223007,0,15.9202026251664,0,0,0
