,proportion,category
1,0.0240384615384615,Observed
2,0.00938967136150235,Observed
3,0.03,Observed
4,0.0226244343891403,Observed
5,0.0232558139534884,Observed
6,0.0145631067961165,Observed
7,0.0235849056603774,Observed
8,0.0138888888888889,Observed
9,0.00925925925925926,Observed
10,0.0176211453744493,Observed
11,0.00925925925925926,Observed
12,0.0134529147982063,Observed
13,0.0203045685279188,Observed
14,0.00467289719626168,Observed
15,0.00947867298578199,Observed
16,0.0199004975124378,Observed
17,0.0185185185185185,Observed
18,0.0181818181818182,Observed
19,0.0144230769230769,Observed
20,0.0292682926829268,Observed
21,0.0186046511627907,Observed
22,0.00921658986175115,Observed
23,0.0134529147982063,Observed
24,0.0193236714975845,Observed
25,0.00888888888888889,Observed
26,0.00934579439252336,Observed
27,0.0194174757281553,Observed
28,0.0133333333333333,Observed
29,0.0185185185185185,Observed
30,0.0339805825242718,Observed
31,0.0203045685279188,Observed
32,0.0203045685279188,Observed
33,0.027027027027027,Observed
34,0.0186915887850467,Observed
35,0.0186046511627907,Observed
36,0.0137614678899083,Observed
37,0.0230414746543779,Observed
38,0.0298507462686567,Observed
39,0.00896860986547085,Observed
40,0.0191387559808612,Observed
41,0.0135746606334842,Observed
42,0.02,Observed
43,0.013215859030837,Observed
44,0.0203045685279188,Observed
45,0.015,Observed
46,0.0106382978723404,Observed
47,0.0263157894736842,Observed
48,0.00469483568075117,Observed
49,0.00526315789473684,Observed
50,0.0194174757281553,Observed
51,0.00952380952380952,Observed
52,0.0473684210526316,Observed
53,0.0138888888888889,Observed
54,0.0192307692307692,Observed
55,0.0151515151515152,Observed
56,0.0355555555555556,Observed
57,0.0087719298245614,Observed
58,0.018018018018018,Observed
59,0.0205128205128205,Observed
60,0.0207253886010363,Observed
61,0.0228310502283105,Observed
62,0.0176211453744493,Observed
63,0.0135135135135135,Observed
64,0.0125,Observed
65,0.0207253886010363,Observed
66,0.00961538461538462,Observed
67,0.00930232558139535,Observed
68,0.00510204081632653,Observed
69,0.0182648401826484,Observed
70,0.0143540669856459,Observed
71,0.0099009900990099,Observed
72,0.0275229357798165,Observed
73,0.0220264317180617,Observed
74,0.0321100917431193,Observed
75,0.0182648401826484,Observed
76,0.021505376344086,Observed
77,0.0146341463414634,Observed
78,0.037037037037037,Observed
79,0.0294117647058824,Observed
80,0.028169014084507,Observed
81,0.00934579439252336,Observed
82,0.0309278350515464,Observed
83,0.00425531914893617,Observed
84,0.0186915887850467,Observed
85,0.02,Observed
86,0.0133333333333333,Observed
87,0.0231481481481481,Observed
88,0.0240384615384615,Observed
89,0.0197044334975369,Observed
90,0.0165745856353591,Observed
91,0.0266666666666667,Observed
92,0.013215859030837,Observed
93,0.00930232558139535,Observed
94,0.00921658986175115,Observed
95,0.0182648401826484,Observed
96,0.0241545893719807,Observed
97,0.0327102803738318,Observed
98,0.0158730158730159,Observed
99,0.0177777777777778,Observed
100,0.00816326530612245,Observed
101,0.113529432998395,Null
102,0.113985598157907,Null
103,0.114244680233184,Null
104,0.114198703545982,Null
105,0.114420914494094,Null
106,0.113970912357621,Null
107,0.115790319272764,Null
108,0.11483777315582,Null
109,0.113861961153707,Null
110,0.114146921539683,Null
111,0.114626006968663,Null
112,0.113331525003307,Null
113,0.115487688025005,Null
114,0.113177831625913,Null
115,0.114265700389205,Null
116,0.114800502926106,Null
117,0.113736581769614,Null
118,0.113396326944224,Null
119,0.115504310124258,Null
120,0.115158492468095,Null
121,0.11475505986501,Null
122,0.114501528877705,Null
123,0.114125665758775,Null
124,0.113937832109947,Null
125,0.115004124086309,Null
126,0.114251621803696,Null
127,0.115356515316906,Null
128,0.114196703696929,Null
129,0.114868945178309,Null
130,0.115646136833869,Null
131,0.115593279767714,Null
132,0.114612628983561,Null
133,0.114201864916311,Null
134,0.114283590049427,Null
135,0.113578043866591,Null
136,0.114826881302145,Null
137,0.11419834019933,Null
138,0.114174559296412,Null
139,0.114471321212244,Null
140,0.113952590105428,Null
141,0.114809711451085,Null
142,0.115187049472788,Null
143,0.114160373243973,Null
144,0.114822313688186,Null
145,0.114934386850219,Null
146,0.115235634717133,Null
147,0.116172532098987,Null
148,0.11409992170537,Null
149,0.115541721352905,Null
150,0.114127139769431,Null
151,0.115255042870307,Null
152,0.114945295358331,Null
153,0.113941100243321,Null
154,0.114706744313458,Null
155,0.115793820440212,Null
156,0.114346457819199,Null
157,0.113412384416699,Null
158,0.113529792360657,Null
159,0.114799126448612,Null
160,0.114838670124793,Null
161,0.114421606398313,Null
162,0.114449572594855,Null
163,0.114385532977332,Null
164,0.113517378321945,Null
165,0.115096576021837,Null
166,0.115210631134284,Null
167,0.113789453667502,Null
168,0.114691393956027,Null
169,0.11457910571108,Null
170,0.114988435671777,Null
171,0.115534356801528,Null
172,0.114344726525821,Null
173,0.113875467231974,Null
174,0.114152615489845,Null
175,0.114093312218944,Null
176,0.115734125074026,Null
177,0.114927326615362,Null
178,0.115806657053734,Null
179,0.114365148265278,Null
180,0.11435341287295,Null
181,0.114636107187888,Null
182,0.114290841610149,Null
183,0.113098382303987,Null
184,0.114178081461876,Null
185,0.114526044232311,Null
186,0.11469220690326,Null
187,0.113355277494907,Null
188,0.114278669331226,Null
189,0.115061049873807,Null
190,0.115500517714854,Null
191,0.11378578795852,Null
192,0.114118427534218,Null
193,0.11379211406352,Null
194,0.113016909559248,Null
195,0.114082120963101,Null
196,0.114333250442956,Null
197,0.115567167609945,Null
198,0.113166593221453,Null
199,0.114780771990708,Null
200,0.113320826470359,Null
